a,p,q,f,l,T,m,M
3800412419,87825.57000000,0.00122000,5723749835,5723749850,1767229280632,False,True
3800412420,87825.58000000,0.00153000,5723749851,5723749874,1767229280632,False,True
3800412421,87825.59000000,0.00045000,5723749875,5723749880,1767229280632,False,True
3800412422,87826.34000000,0.00006000,5723749881,5723749881,1767229280632,False,True
3800412423,87826.48000000,0.00006000,5723749882,5723749882,1767229280632,False,True
3800412424,87826.66000000,0.00018000,5723749883,5723749885,1767229280632,False,True
3800412425,87826.75000000,0.00164000,5723749886,5723749902,1767229280636,False,True
3800412426,87826.74000000,0.00206000,5723749903,5723749903,1767229280643,True,True
3800412427,87826.75000000,0.00306000,5723749904,5723749929,1767229280703,False,True
3800412428,87826.76000000,0.00108000,5723749930,5723749947,1767229280703,False,True
3800412429,87826.86000000,0.00057000,5723749948,5723749955,1767229280703,False,True
3800412430,87826.98000000,0.00006000,5723749956,5723749956,1767229280703,False,True
3800412431,87827.60000000,0.00018000,5723749957,5723749959,1767229280703,False,True
3800412432,87827.95000000,0.00039000,5723749960,5723749964,1767229280703,False,True
3800412433,87828.25000000,0.00018000,5723749965,5723749967,1767229280703,False,True
3800412434,87828.31000000,0.00300000,5723749968,5723749968,1767229280703,False,True
3800412435,87828.80000000,0.00030000,5723749969,5723749973,1767229280707,False,True
3800412436,87828.81000000,0.00006000,5723749974,5723749974,1767229280707,False,True
3800412437,87829.07000000,0.00006000,5723749975,5723749975,1767229280707,False,True
3800412438,87829.13000000,0.00200000,5723749976,5723749979,1767229280707,False,True
3800412439,87829.68000000,0.00013000,5723749980,5723749981,1767229280710,False,True
3800412440,87829.69000000,0.00024000,5723749982,5723749985,1767229280710,False,True
3800412441,87829.97000000,0.00277000,5723749986,5723749989,1767229280710,False,True
3800412442,87830.60000000,0.00613000,5723749990,5723750006,1767229280713,False,True
3800412443,87830.60000000,0.00053000,5723750007,5723750007,1767229280714,False,True
3800412444,87830.60000000,0.00330000,5723750008,5723750037,1767229280722,False,True
3800412445,87830.61000000,0.00392000,5723750038,5723750086,1767229280744,False,True
3800412446,87830.62000000,0.00153000,5723750087,5723750110,1767229280744,False,True
3800412447,87830.73000000,0.00006000,5723750111,5723750111,1767229280744,False,True
3800412448,87830.89000000,0.00084000,5723750112,5723750115,1767229280744,False,True
3800412449,87831.08000000,0.00107000,5723750116,5723750127,1767229280747,False,True
3800412450,87831.09000000,0.00066000,5723750128,5723750138,1767229280747,False,True
3800412451,87831.10000000,0.00006000,5723750139,5723750139,1767229280747,False,True
3800412452,87831.18000000,0.00018000,5723750140,5723750142,1767229280747,False,True
3800412453,87831.36000000,0.00021000,5723750143,5723750145,1767229280747,False,True
3800412454,87831.84000000,0.00056000,5723750146,5723750147,1767229280747,False,True
3800412455,87831.97000000,0.00018000,5723750148,5723750150,1767229280747,False,True
3800412456,87832.61000000,0.00295000,5723750151,5723750179,1767229280765,False,True
3800412457,87832.62000000,0.00353000,5723750180,5723750224,1767229280770,False,True
3800412458,87832.63000000,0.00108000,5723750225,5723750242,1767229280770,False,True
3800412459,87832.80000000,0.00045000,5723750243,5723750248,1767229280770,False,True
3800412460,87832.81000000,0.00009000,5723750249,5723750249,1767229280770,False,True
3800412461,87832.82000000,0.00009000,5723750250,5723750250,1767229280770,False,True
3800412462,87833.08000000,0.00012000,5723750251,5723750251,1767229280770,False,True
3800412463,87833.44000000,0.00030000,5723750252,5723750256,1767229280770,False,True
3800412464,87833.57000000,0.00006000,5723750257,5723750257,1767229280770,False,True
3800412465,87834.32000000,0.00030000,5723750258,5723750262,1767229280770,False,True
3800412466,87834.35000000,0.00154000,5723750263,5723750263,1767229280770,False,True
3800412467,87834.35000000,0.00484000,5723750264,5723750300,1767229280865,False,True
3800412468,87834.36000000,0.00165000,5723750301,5723750326,1767229280865,False,True
3800412469,87834.37000000,0.00027000,5723750327,5723750329,1767229280865,False,True
3800412470,87834.40000000,0.00123000,5723750330,5723750331,1767229280865,False,True
3800412471,87835.12000000,0.00006000,5723750332,5723750332,1767229280865,False,True
3800412472,87835.54000000,0.00007000,5723750333,5723750333,1767229280865,False,True
3800412473,87835.64000000,0.00018000,5723750334,5723750336,1767229280865,False,True
3800412474,87835.91000000,0.00036000,5723750337,5723750342,1767229280865,False,True
3800412475,87835.96000000,0.00018000,5723750343,5723750345,1767229280865,False,True
3800412476,87835.97000000,0.01021000,5723750346,5723750349,1767229280865,False,True
3800412477,87836.11000000,0.00006000,5723750350,5723750350,1767229280865,False,True
3800412478,87836.12000000,0.00300000,5723750351,5723750351,1767229280865,False,True
3800412479,87836.55000000,0.00006000,5723750352,5723750352,1767229280865,False,True
3800412480,87837.61000000,0.00018000,5723750353,5723750355,1767229280865,False,True
3800412481,87837.98000000,0.00006000,5723750356,5723750356,1767229280865,False,True
3800412482,87838.00000000,0.00118000,5723750357,5723750360,1767229280865,False,True
3800412483,87838.20000000,0.00018000,5723750361,5723750363,1767229280865,False,True
3800412484,87838.21000000,0.11398000,5723750364,5723750366,1767229280865,False,True
3800412485,87838.26000000,0.00018000,5723750367,5723750369,1767229280865,False,True
3800412486,87838.27000000,0.02258000,5723750370,5723750370,1767229280865,False,True
3800412487,87838.47000000,0.00007000,5723750371,5723750371,1767229280865,False,True
3800412488,87838.71000000,0.00063000,5723750372,5723750372,1767229281081,True,True
3800412489,87838.72000000,0.00027000,5723750373,5723750373,1767229281103,False,True
3800412490,87838.71000000,0.05663000,5723750374,5723750374,1767229281441,True,True
3800412491,87838.72000000,0.00120000,5723750375,5723750375,1767229283125,False,True
3800412492,87838.71000000,0.00032000,5723750376,5723750376,1767229284026,True,True
3800412493,87838.72000000,2.52217000,5723750377,5723750440,1767229284047,False,True
3800412494,87838.73000000,0.00114000,5723750441,5723750455,1767229284450,False,True
3800412495,87838.73000000,0.00007000,5723750456,5723750456,1767229285552,False,True
3800412496,87838.72000000,0.00171000,5723750457,5723750457,1767229286005,True,True
3800412497,87838.73000000,0.00015000,5723750458,5723750458,1767229286117,False,True
3800412498,87838.73000000,0.01059000,5723750459,5723750484,1767229289655,False,True
3800412499,87838.73000000,0.00023000,5723750485,5723750485,1767229289720,False,True
3800412500,87838.73000000,0.00027000,5723750486,5723750488,1767229290983,False,True
3800412501,87838.72000000,0.05041000,5723750489,5723750489,1767229291448,True,True
3800412502,87838.73000000,0.00877000,5723750490,5723750491,1767229291456,False,True
3800412503,87838.73000000,0.00077000,5723750492,5723750492,1767229291560,False,True
3800412504,87838.73000000,0.09961000,5723750493,5723750534,1767229291965,False,True
3800412505,87838.74000000,0.00161000,5723750535,5723750558,1767229291965,False,True
3800412506,87838.79000000,0.00120000,5723750559,5723750565,1767229291965,False,True
3800412507,87839.08000000,0.00018000,5723750566,5723750568,1767229291965,False,True
3800412508,87839.49000000,0.00018000,5723750569,5723750571,1767229291965,False,True
3800412509,87839.51000000,0.00006000,5723750572,5723750572,1767229291965,False,True
3800412510,87839.56000000,0.00018000,5723750573,5723750575,1767229291965,False,True
3800412511,87839.57000000,0.05701000,5723750576,5723750576,1767229291965,False,True
3800412512,87839.61000000,0.00006000,5723750577,5723750577,1767229291965,False,True
3800412513,87839.66000000,0.00161000,5723750578,5723750585,1767229291965,False,True
3800412514,87839.69000000,0.00021000,5723750586,5723750588,1767229291965,False,True
3800412515,87839.99000000,0.00018000,5723750589,5723750591,1767229291965,False,True
