a,p,q,f,l,T,m,M
1850078867,2977.14000000,0.17600000,3402568849,3402568849,1767243678748,False,True
1850078868,2977.13000000,0.00380000,3402568850,3402568850,1767243678947,True,True
1850078869,2977.14000000,0.10480000,3402568851,3402568896,1767243680185,False,True
1850078870,2977.15000000,0.01720000,3402568897,3402568897,1767243680185,False,True
1850078871,2977.15000000,0.02470000,3402568898,3402568911,1767243680187,False,True
1850078872,2977.16000000,0.00180000,3402568912,3402568912,1767243680187,False,True
1850078873,2977.18000000,0.00180000,3402568913,3402568913,1767243680187,False,True
1850078874,2977.19000000,0.00680000,3402568914,3402568915,1767243680187,False,True
1850078875,2977.20000000,0.00380000,3402568916,3402568917,1767243680187,False,True
1850078876,2977.21000000,0.00180000,3402568918,3402568918,1767243680187,False,True
1850078877,2977.22000000,0.00180000,3402568919,3402568919,1767243680187,False,True
1850078878,2977.24000000,0.00350000,3402568920,3402568921,1767243680187,False,True
1850078879,2977.26000000,0.01950000,3402568922,3402568924,1767243680187,False,True
1850078880,2977.27000000,0.00880000,3402568925,3402568929,1767243680187,False,True
1850078881,2977.28000000,0.04770000,3402568930,3402568932,1767243680187,False,True
1850078882,2977.28000000,0.00430000,3402568933,3402568934,1767243680188,False,True
1850078883,2977.30000000,0.00200000,3402568935,3402568935,1767243680188,False,True
1850078884,2977.31000000,0.01020000,3402568936,3402568938,1767243680188,False,True
1850078885,2977.32000000,0.03640000,3402568939,3402568942,1767243680188,False,True
1850078886,2977.33000000,0.34380000,3402568943,3402568947,1767243680188,False,True
1850078887,2977.34000000,1.79000000,3402568948,3402568950,1767243680188,False,True
1850078888,2977.34000000,0.12200000,3402568951,3402568974,1767243680333,False,True
1850078889,2977.34000000,0.12200000,3402568975,3402568996,1767243680338,False,True
1850078890,2977.34000000,0.12200000,3402568997,3402568997,1767243680365,False,True
1850078891,2977.34000000,0.06400000,3402568998,3402569026,1767243680365,False,True
1850078892,2977.35000000,0.05800000,3402569027,3402569028,1767243680365,False,True
1850078893,2977.35000000,0.12200000,3402569029,3402569030,1767243680366,False,True
1850078894,2977.35000000,0.00480000,3402569031,3402569033,1767243681386,False,True
1850078895,2977.35000000,0.46600000,3402569034,3402569097,1767243683178,False,True
1850078896,2977.35000000,0.46600000,3402569098,3402569098,1767243683178,False,True
